Filtered prefixes @ https://lg.ix.br | ASN | AS-NAME | AS Rank | Source | Country | PeeringDB link
1 | 268818 | Kobertura Telecom LTDA | 4675 | LACNIC | BR | https://www.peeringdb.com/asn/268818
1 | 269038 | IDX DATA CENTERS & IT SERVICES S.A. | 32952 | LACNIC | BR | https://www.peeringdb.com/asn/269038
1 | 269044 | Thunder Tecnologia Ltda - ME | 39617 | LACNIC | BR | https://www.peeringdb.com/asn/269044
1 | 269337 | CONECWEB SERVICOS DE COMUNICACAO LTDA | 3181 | LACNIC | BR | https://www.peeringdb.com/asn/269337
1 | 269466 | DW TELECOM LTDA | 5980 | LACNIC | BR | https://www.peeringdb.com/asn/269466
1 | 269506 | BRLOGNET TELECOMUNICACOES LTDA | 10141 | LACNIC | BR | https://www.peeringdb.com/asn/269506
1 | 269517 | SPACENET PROVEDOR TELECOM LTDA | 33129 | LACNIC | BR | https://www.peeringdb.com/asn/269517
1 | 269628 | Matheus dos santos | 33525 | LACNIC | BR | https://www.peeringdb.com/asn/269628
1 | 270350 | RDS TECNOLOGIA-ME | 33411 | LACNIC | BR | https://www.peeringdb.com/asn/270350
1 | 270393 | IPT TELECOM | 5510 | LACNIC | BR | https://www.peeringdb.com/asn/270393
1 | 270398 | CALCONTEC TEL.ECOMUNICACOES E INFORMATICA LTDA | 47808 | LACNIC | BR | https://www.peeringdb.com/asn/270398
1 | 270814 | ZAAZ PROVEDOR DE INTERNET E TELECOMUNICACOES LTDA | 707 | LACNIC | BR | https://www.peeringdb.com/asn/270814
1 | 271188 | VOCAL NET TELECOMUNICACOES LTDA | 59074 | LACNIC | BR | https://www.peeringdb.com/asn/271188
1 | 271452 | Sigma Telecom Provedores de Internet Ltda | 32987 | LACNIC | BR | https://www.peeringdb.com/asn/271452
1 | 271595 | FIBER SYS TELECOM LTDA | 33411 | LACNIC | BR | https://www.peeringdb.com/asn/271595
1 | 272426 | INTERMAX SERVICOS DE COMUNICACAO LTDA | 11659 | LACNIC | BR | https://www.peeringdb.com/asn/272426
1 | 272524 | SB4Host Datacenter | 78320 | LACNIC | BR | https://www.peeringdb.com/asn/272524
1 | 272539 | ENEVE TELECOMUNICACOES LTDA | 26097 | LACNIC | BR | https://www.peeringdb.com/asn/272539
1 | 272739 | Lider Fibra | 11248 | LACNIC | BR | https://www.peeringdb.com/asn/272739
1 | 273490 | FIBRION INTERNET LTDA | 78320 | LACNIC | BR | https://www.peeringdb.com/asn/273490
1 | 273732 | TATA COMMUNICATIONS COMUNICACOES E MULTIMIDIA BR | 8033 | LACNIC | BR | https://www.peeringdb.com/asn/273732
1 | 274614 | VELOX NETWORK SOLUCOES TECNOLOGICAS LTDA | 1546 | LACNIC | BR | https://www.peeringdb.com/asn/274614
1 | 274651 | HC4W - SOLUCOES EM TECNOLOGIA E HOSPEDAGEM LTDA | 77875 | LACNIC | BR | https://www.peeringdb.com/asn/274651
