Filtered prefixes @ https://alice-rs.linx.net | ASN | AS-NAME | AS Rank | Source | Country | PeeringDB link
10 | 29119 | SERVIHOSTING-AS - AIRE NETWORKS DEL MEDITERRANEO SL UNIPERSONAL | 178 | RIPE | ES | https://www.peeringdb.com/asn/29119
10 | 37662 | WIOCC-AS | 102 | AFRINIC | MU | https://www.peeringdb.com/asn/37662
10 | 327814 | Ecoband | 3160 | AFRINIC | GH | https://www.peeringdb.com/asn/327814
9 | 45430 | SBN-AWN-IIG-AS-AP SBN-IIGAWN-IIG transit provider | 225 | APNIC | TH | https://www.peeringdb.com/asn/45430
8 | 3213 | BOGONS-ASN - Bogons Ltd | 8491 | RIPE | GB | https://www.peeringdb.com/asn/3213
8 | 51561 | NA | 5931 | RIPE | GB | https://www.peeringdb.com/asn/51561
8 | 137409 | GSLNETWORKS-AS-AP GSL Networks Pty LTD | 69 | APNIC | AU | https://www.peeringdb.com/asn/137409
7 | 8529 | OMANTEL-AS - Zain Omantel International FZ-LLC | 84 | RIPE | OM | https://www.peeringdb.com/asn/8529
7 | 16637 | MTNNS-AS | 241 | AFRINIC | ZA | https://www.peeringdb.com/asn/16637
7 | 20764 | RASCOM-AS - CJSC RASCOM | 28 | RIPE | RU | https://www.peeringdb.com/asn/20764
6 | 15802 | DU-AS1 - Emirates Integrated Telecommunications Company PJSC | 728 | RIPE | AE | https://www.peeringdb.com/asn/15802
6 | 16247 | M247-UK - M247 Ltd | 2419 | RIPE | GB | https://www.peeringdb.com/asn/16247
6 | 37100 | SEACOM-AS | 96 | AFRINIC | MU | https://www.peeringdb.com/asn/37100
6 | 56595 | FLUENCY - Fluency Communications Ltd | 1456 | RIPE | GB | https://www.peeringdb.com/asn/56595
5 | 3462 | HINET Data Communication Business Group | 392 | APNIC | TW | https://www.peeringdb.com/asn/3462
5 | 7155 | NA | 4129 | ARIN | US | https://www.peeringdb.com/asn/7155
5 | 37678 | BOFINET | 1605 | AFRINIC | BW | https://www.peeringdb.com/asn/37678
5 | 38880 | NA | 3079 | APNIC | AU | https://www.peeringdb.com/asn/38880
4 | 7195 | EDGEUNO S.A.S | 22 | LACNIC | CO | https://www.peeringdb.com/asn/7195
4 | 9304 | NA | 58 | APNIC | HK | https://www.peeringdb.com/asn/9304
4 | 12713 | NA | 634 | RIPE | GR | https://www.peeringdb.com/asn/12713
4 | 13037 | ZEN-AS - Zen Internet Ltd | 4758 | RIPE | GB | https://www.peeringdb.com/asn/13037
4 | 33763 | Paratus | 526 | AFRINIC | MU | https://www.peeringdb.com/asn/33763
4 | 36351 | SOFTLAYER | 1899 | ARIN | US | https://www.peeringdb.com/asn/36351
4 | 47631 | SIPCOM-NET1 - SIP COMMUNICATIONS LIMITED | 24448 | RIPE | GB | https://www.peeringdb.com/asn/47631
3 | 4651 | THAI-GATEWAY The Communications Authority of ThailandCAT | 204 | APNIC | TH | https://www.peeringdb.com/asn/4651
3 | 7552 | NA | 188 | APNIC | VN | https://www.peeringdb.com/asn/7552
3 | 9050 | RTD - Orange Romania S.A. | 172 | RIPE | RO | https://www.peeringdb.com/asn/9050
3 | 9505 | TWGATE-AP Taiwan Internet Gateway | 483 | APNIC | TW | https://www.peeringdb.com/asn/9505
3 | 20804 | ASN-TELENERGO - Exatel S.A. | 121 | RIPE | PL | https://www.peeringdb.com/asn/20804
3 | 23764 | CTGNET CTGNet | 64 | APNIC | HK | https://www.peeringdb.com/asn/23764
3 | 24691 | TOGOTEL-AS | 5779 | RIPE | TG | https://www.peeringdb.com/asn/24691
3 | 49490 | CIRCLENET-AS - Circlenet LLP | 44481 | RIPE | GB | https://www.peeringdb.com/asn/49490
3 | 55329 | TELCOTECH-KH Telcotech Ltd. | 899 | APNIC | KH | https://www.peeringdb.com/asn/55329
3 | 61049 | EXASCALE - Exascale Ltd | 739 | RIPE | GB | https://www.peeringdb.com/asn/61049
3 | 22925 | NA | 1176 | ARIN | US | https://www.peeringdb.com/asn/22925
2 | 1828 | UNITAS | 143 | ARIN | US | https://www.peeringdb.com/asn/1828
2 | 6866 | CYTA-NETWORK - Cyprus Telecommunications Authority | 1020 | RIPE | CY | https://www.peeringdb.com/asn/6866
2 | 8220 | COLT - COLT Technology Services Group Limited | 43 | RIPE | GB | https://www.peeringdb.com/asn/8220
2 | 12703 | NA | 1480 | RIPE | GB | https://www.peeringdb.com/asn/12703
2 | 13237 | LAMBDANET-AS - euNetworks GmbH | 185 | RIPE | DE | https://www.peeringdb.com/asn/13237
2 | 20799 | DATANET-AS - Datanet.co.uk Ltd | 5157 | RIPE | GB | https://www.peeringdb.com/asn/20799
2 | 28792 | PUBLIC-INTERNET - Public Internet Ltd | 19283 | RIPE | GB | https://www.peeringdb.com/asn/28792
2 | 31500 | NA | 75 | RIPE | AG | https://www.peeringdb.com/asn/31500
2 | 34177 | NA | 1262 | RIPE | FR | https://www.peeringdb.com/asn/34177
2 | 38158 | CBN-AS-ID PT. Cyberindo Aditama | 122 | APNIC | ID | https://www.peeringdb.com/asn/38158
2 | 38182 | EXTREMEBB-AS-MY Extreme Broadband - Total Broadband Experience | 1055 | APNIC | MY | https://www.peeringdb.com/asn/38182
2 | 39737 | NA | 386 | RIPE | RO | https://www.peeringdb.com/asn/39737
2 | 41313 | NOVATEL-AS - "NOVATEL" EOOD | 590 | RIPE | BG | https://www.peeringdb.com/asn/41313
2 | 58715 | EARTHTELECOMMUNICATION-AS EARTH TELECOMMUNICATION Pvt LTD. | 355 | APNIC | BD | https://www.peeringdb.com/asn/58715
2 | 197790 | NA | 3942 | RIPE | PL | https://www.peeringdb.com/asn/197790
2 | 15808 | ACCESSKENYA-KE | 1144 | RIPE | KE | https://www.peeringdb.com/asn/15808
1 | 2635 | AUTOMATTIC | 14720 | ARIN | US | https://www.peeringdb.com/asn/2635
1 | 3214 | XTOM - xTom GmbH | 517 | RIPE | DE | https://www.peeringdb.com/asn/3214
1 | 5377 | MARLINK-EMEA - Marlink AS | 4192 | RIPE | NO | https://www.peeringdb.com/asn/5377
1 | 6424 | EDGOO - EDGOO NETWORKS UNIPESSOAL LDA | 235 | RIPE | PT | https://www.peeringdb.com/asn/6424
1 | 7979 | SERVERS-COM | 2554 | ARIN | US | https://www.peeringdb.com/asn/7979
1 | 8452 | TE-AS | 501 | RIPE | EG | https://www.peeringdb.com/asn/8452
1 | 9381 | HKBNES-AS-AP HKBN Enterprise Solutions HK Limited | 536 | APNIC | HK | https://www.peeringdb.com/asn/9381
1 | 12969 | VODAFONE_ICELAND - Ljosleidarinn ehf | 1564 | RIPE | IS | https://www.peeringdb.com/asn/12969
1 | 17494 | BTTB-AS-AP Telecom Operator & Internet Service Provider as well | 166 | APNIC | BD | https://www.peeringdb.com/asn/17494
1 | 19711 | SWAZINET | 2385 | AFRINIC | SZ | https://www.peeringdb.com/asn/19711
1 | 24429 | TAOBAO Zhejiang Taobao Network Co. | 2947 | APNIC | CN | https://www.peeringdb.com/asn/24429
1 | 34927 | IFOG-GMBH - iFog GmbH | 304 | RIPE | CH | https://www.peeringdb.com/asn/34927
1 | 35297 | DATALINE-AS - Dataline LLC | 115 | RIPE | UA | https://www.peeringdb.com/asn/35297
1 | 35598 | NA | 47 | RIPE | RU | https://www.peeringdb.com/asn/35598
1 | 37497 | Network-Platforms | 606 | AFRINIC | ZA | https://www.peeringdb.com/asn/37497
1 | 45437 | RWTS-AS-AP Real World - The Core | 1184 | APNIC | AU | https://www.peeringdb.com/asn/45437
1 | 49600 | NEARIP - NEAR IP, S.L. | 832 | RIPE | ES | https://www.peeringdb.com/asn/49600
1 | 57344 | TELEHOUSE-AS - Telehouse EAD | 268 | RIPE | BG | https://www.peeringdb.com/asn/57344
1 | 58453 | NA | 32 | APNIC | HK | https://www.peeringdb.com/asn/58453
1 | 59624 | KIAE-COMPUTING-AS - National Research Center "Kurchatov Institute" | 3026 | RIPE | RU | https://www.peeringdb.com/asn/59624
1 | 64049 | RJIPL-SG Reliance Jio Infocomm Pte Ltd Singapore | 90 | APNIC | SG | https://www.peeringdb.com/asn/64049
1 | 3741 | NTT-DATA-Inc | 219 | AFRINIC | ZA | https://www.peeringdb.com/asn/3741
1 | 206078 | ULTRANETWORKS - UltraNetworks Limited | 5918 | RIPE | GB | https://www.peeringdb.com/asn/206078
